"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"G***";"Pirata";1;"LOGO";;;
2;"Logo";"ESD-Logo_8.9x8mm_SilkScreen";1;"ESD-Logo_8.9x8mm_SilkScreen";;;
3;"www.insepet.com";"Insepet";1;"LOGO";;;
4;"U3";"LQFP-64_10x10mm_Pitch0.5mm";1;"TM4C1231H6PM";;;
5;"VDDC1";"1pin";1;"CONN_01X01";;;
6;"J1";"PhoenixContact_MCV-G_02x5.08mm_Vertical";1;"CONN_01X02";;;
7;"J20,J23,J11,J14,J15,J16,J17,J18,J21,J25,J22";"8p8c-RJ45";11;"RJ45";;;
8;"REF**,REF**,REF**,REF**";"1pin";4;"1pin";;;
9;"C1,C2,C3,C4";"C_0603_HandSoldering";4;"10uF";;;
10;"C5,C6,C17,C18,C20,C22";"C_0603_HandSoldering";6;"0.1uF";;;
11;"C7,C8,C9,C10";"C_0603_HandSoldering";4;"22uF";;;
12;"C11,C12";"C_0603_HandSoldering";2;"10pF";;;
13;"C13,C14";"C_0603_HandSoldering";2;"24pF";;;
14;"C15";"C_0603_HandSoldering";1;"2.2uF";;;
15;"C16";"C_0603_HandSoldering";1;"1.uF";;;
16;"C19,C21,C23";"C_0603_HandSoldering";3;"0.01uF";;;
17;"C24";"C_0603_HandSoldering";1;"1uF";;;
18;"C25,C26,C27,C28,C29,C30,C31,C32";"CP_Tantalum_Case-A_EIA-3216-18_Hand";8;"0.1uF";;;
19;"D2,D3,D4,D1";"D_SOD-123F";4;"D";;;
20;"D5,D6,D7,D8,D9";"LED_0603";5;"LED";;;
21;"J2";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"CONN_01X04_MALE";;;
22;"J3";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"RESET";;;
23;"J4";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"CONN_01X06";;;
24;"J5";"Pin_Header_Straight_1x07_Pitch2.54mm";1;"CONN_01X07";;;
25;"J6";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"CONN_01X05";;;
26;"J7,J8,J28,J29";"Pin_Header_Straight_1x03_Pitch2.54mm";4;"CONN_01X03";;;
27;"J9,J10,J12,J13";"Pin_Header_Straight_1x03_Pitch2.54mm";4;"PIN_3";;;
28;"J26";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"QR_1";;;
29;"J27";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"QR_2";;;
30;"L1,L2";"SRR6038-3R3Y";2;"3.3uH";;;
31;"R1";"R_0603_HandSoldering";1;"33.2K";;;
32;"R2,R4,R5,R10,R12";"R_0603_HandSoldering";5;"10K";;;
33;"R3";"R_0603_HandSoldering";1;"54.9K";;;
34;"R6";"R_0603_HandSoldering";1;"1M";;;
35;"R7";"R_0603_HandSoldering";1;"1K";;;
36;"R8,R9";"R_0603_HandSoldering";2;"4.7K";;;
37;"R11,R13";"R_0603_HandSoldering";2;"33K";;;
38;"U1,U2";"SOT-23-6_Handsoldering";2;"TPS5622";;;
39;"U4,U5,U6,U7";"SOIC-14_N";4;"74HC125";;;
40;"U8,U9";"Microreader";2;"Microreader";;;
41;"U10,U11";"SO-16-N";2;"Max232";;;
42;"Y1";"Crystal_SMD_5032-2pin_5.0x3.2mm_HandSoldering";1;"16MHz";;;
43;"Y2";"Crystal_SMD_FrontierElectronics_FM206";1;"Crystal";;;
44;"R18,R19,R20,R21";"R_0603_HandSoldering";4;"330";;;
45;"R22,R25";"R_0603_HandSoldering";2;"0";;;
46;"R23,R24";"R_0603_HandSoldering";2;"5K";;;
